financial_year,council,Population,garbage_collected_total_tonnes,kerbside_recycling_total_collected_tonnes,kerbside_recycling_total_recycled_tonnes,kerbside_organics_collected_tonnes,kerbside_organics_processed_tonnes,kerbside_glass_total_collected_tonnes,hardwaste_collected_tonnes,hardwaste_disposed_tonnes,lga_name,landfill_tonnes,recovered_tonnes,total_waste_tonnes,recovery_rate,landfill_kg_per_person,recovered_kg_per_person
2023-2024,Alpine Shire Council,13240,1279.5,1381,1279.84175,2440.4,2438.44768,,,,Alpine,1279.5,3819.44768,5098.94768,0.74906587,96.63897281,288.4779215
2023-2024,Ararat Rural City Council,11761,2105,708,579.5770804,1032,1032,473,,,Ararat,2105,2213,4318,0.51250579,178.9813791,188.1642717
2023-2024,Ballarat City Council,119109,21962,5856,4684.8,12354,12230.46,,,,Ballarat,21962,18086.46,40048.46,0.451614369,184.3857307,151.8479712
2023-2024,Banyule City Council,129895,15621,10331,8457.077425,17773,17341.1161,,1938,,Banyule,15621,27672.1161,43293.1161,0.639180512,120.2586705,213.0344979
2023-2024,Bass Coast Shire Council,42888,6099.75,4377.94,4229.09004,12507.56,12302.43602,,105.67,,Bass Coast,6099.75,16680.37602,22780.12602,0.732233703,142.2250979,388.9287451
2023-2024,Baw Baw Shire Council,61301,11476,4834,4350.6,8283,7868.85,,626.62,,Baw Baw,11476,12702.85,24178.85,0.525370313,187.2073865,207.2209262
2023-2024,Bayside City Council,104305,11412.62,9653.57,9461.463957,17673,17337.213,,2886.53,,Bayside (Vic.),11412.62,26990.783,38403.403,0.70282269,109.4158478,258.7678731
2023-2024,Benalla Rural City Council,14544,2295.98,1296.57,1166.913,1846.62,1823.167926,,,,Benalla,2295.98,3119.737926,5415.717926,0.576052514,157.8644114,214.5034328
2023-2024,Boroondara City Council,174774,17120,15075,13266,27700,24653,,3000,,Boroondara,17120,39728,56848,0.698846046,97.95507341,227.3106984
2023-2024,Brimbank City Council,197185,41807,13672,10527.44,14977.1,14452.9015,,2516.08,,Brimbank,41807,28124.9015,69931.9015,0.402175558,212.0191698,142.6320537
2023-2024,Buloke Shire Council,6052,2277,704.8,576.9575229,,,,,,Buloke,2277,704.8,2981.8,0.236367295,376.2392597,116.4573695
2023-2024,Campaspe Shire Council,38592,7651.35,3376,2798.0288,3811,3760.3137,,,,Campaspe,7651.35,7136.3137,14787.6637,0.48258561,198.2625933,184.916918
2023-2024,Cardinia Shire Council,129157,22964.34,9688.36,6878.7356,11584.74,11555.77815,,3807,,Cardinia,22964.34,21244.13815,44208.47815,0.480544435,177.8017452,164.4830567
2023-2024,Casey City Council,397751,69226.13,28630.12,20899.9876,41420.25,41080.60395,,15321.43,,Casey,69226.13,69710.72395,138936.854,0.501743936,174.0438868,175.2622217
2023-2024,Central Goldfields Shire Council,13601,2343.94,1156.32,946.5770756,790.1,782.199,,0,,Central Goldfields,2343.94,1938.519,4282.459,0.452664929,172.3358577,142.5276818
