financial_year,council,Population,garbage_collected_total_tonnes,kerbside_recycling_total_collected_tonnes,kerbside_recycling_total_recycled_tonnes,kerbside_organics_collected_tonnes,kerbside_organics_processed_tonnes,kerbside_glass_total_collected_tonnes,hardwaste_collected_tonnes,hardwaste_disposed_tonnes,lga_name,landfill_tonnes,recovered_tonnes,total_waste_tonnes,recovery_rate,landfill_kg_per_person,recovered_kg_per_person
2001-2002,Alpine Shire Council,12788,2343,684.5,683,,,,,,Alpine,2343,684.5,3027.5,0.226094137,183.2186425,53.52674382
2001-2002,Ararat Rural City Council,11521,3434.24,615.2,587,,,,,,Ararat Rural,3434.24,615.2,4049.44,0.151922241,298.0852357,53.39814252
2001-2002,Ballarat City Council,83000,16000,6100,4840,,,,,,Ballarat,16000,6100,22100,0.2760181,192.7710843,73.4939759
2001-2002,Banyule City Council,114222,19134,10872,10231,6517,6517,,861,753,Banyule,19887,17389,37276,0.466493186,174.1083154,152.238623
2001-2002,Bass Coast Shire Council,23175,5087,2490,2490,,,,310.2,164.28,Bass Coast,5251.28,2490,7741.28,0.321652233,226.5924488,107.4433657
2001-2002,Baw Baw Shire Council,35000,8388,1406.9,1060.4,583.35,583.35,,1136.96,489.6,Baw Baw,8877.6,1990.25,10867.85,0.183131898,253.6457143,56.86428571
2001-2002,Bayside City Council,91000,22180,8005,7748.7,7800,7800,,1600,1000,Bayside,23180,15805,38985,0.405412338,254.7252747,173.6813187
2001-2002,Boroondara City Council,158000,38107,16749,16023,9129,9129,,2053,1513,Boroondara,39620,25878,65498,0.395096033,250.7594937,163.7848101
2001-2002,Brimbank City Council,169000,41550,9886,9886,2200,2200,,4560,3840,Brimbank,45390,12086,57476,0.210279073,268.5798817,71.5147929
2001-2002,Buloke Shire Council,7600,1776,247,237,,,,,,Buloke,1776,247,2023,0.122095897,233.6842105,32.5
2001-2002,Campaspe Shire Council,36363,12788,1045,1045,,,,,,Campaspe,12788,1045,13833,0.075543989,351.6761543,28.73800292
2001-2002,Cardinia Shire Council,47000,8600,4080,2937.6,59,59,,456,456,Cardinia,9056,4139,13195,0.313679424,192.6808511,88.06382979
2001-2002,Casey City Council,193347,38533,14636,12552,7059.29,7059.29,,632,632,Casey,39165,21695.29,60860.29,0.356476941,202.5632671,112.2090852
2001-2002,Central Goldfields Shire Council,12701,2470,580,554,,,,30,15,Central Goldfields,2485,580,3065,0.189233279,195.6538855,45.66569561
2001-2002,Colac Otway Shire Council,20207,2800,1015.6,1015.6,930,315,,20.112,2.095,Colac Otway,2802.095,1330.6,4132.695,0.321969078,138.6695205,65.84846835
2001-2002,Corangamite Shire Council,16675,2160,636,456,700,480,,,,Corangamite,2160,1116,3276,0.340659341,129.5352324,66.92653673
2001-2002,Darebin City Council,131000,27180,10585,10270,5198,5198,,747,747,Darebin,27927,15783,43710,0.36108442,213.1832061,120.480916
2001-2002,East Gippsland Shire Council,40000,8503.3,2231,1775,,,,,,East Gippsland,8503.3,2231,10734.3,0.207838424,212.5825,55.775
2001-2002,Frankston City Council,115203,18495,8817,8442,,,,6,,Frankston,18495,8817,27312,0.322825132,160.5426942,76.53446525
2001-2002,Gannawarra Shire Council,12067,2465,1200,1100,,,,,,Gannawarra,2465,1200,3665,0.327421555,204.276125,99.44476672
2001-2002,Glen Eira City Council,118000,41249,7785,7696,2500,2182,,788,767,Glen Eira,42016,9967,51983,0.19173576,356.0677966,84.46610169
2001-2002,Glenelg Shire Council,20700,1571.4,780,495,,,,,,Glenelg,1571.4,780,2351.4,0.331717275,75.91304348,37.68115942
2001-2002,Golden Plains Shire Council,15140,3800,,,,,,,,Golden Plains,3800,0,3800,0,250.990753,0
2001-2002,Greater Bendigo City Council,87600,26075,3552,3367,,,,,,Greater Bendigo,26075,3552,29627,0.11989064,297.6598174,40.54794521
2001-2002,Greater Dandenong City Council,130000,31822,11191,8447,382.44,382.44,,1602,1379,Greater Dandenong,33201,11573.44,44774.44,0.258483188,255.3923077,89.02646154
2001-2002,Greater Geelong City Council,193582,51426,11585.72,11585.72,,,,,,Greater Geelong,51426,11585.72,63011.72,0.183866113,265.6548646,59.84915953
2001-2002,Greater Shepparton City Council,57202,16667,4043,4035,,,,,,Greater Shepparton,16667,4043,20710,0.195219701,291.3709311,70.67934688
2001-2002,Hepburn Shire Council,14320,2730,562,560.9,,,,50,20,Hepburn,2750,562,3312,0.16968599,192.0391061,39.24581006
2001-2002,Hindmarsh Shire Council,6500,1017.6,807.9,599.9,,,,,,Hindmarsh,1017.6,807.9,1825.5,0.442563681,156.5538462,124.2923077
2001-2002,Hobsons Bay City Council,74164,19822.82,6496.86,6293.05,2269,2269,,,,Hobsons Bay,19822.82,8765.86,28588.68,0.306619963,267.2835877,118.1956205
2001-2002,Horsham Rural City Council,18000,5190.1,640,593,,,,,,Horsham Rural,5190.1,640,5830.1,0.109775133,288.3388889,35.55555556
2001-2002,Hume City Council,143277,38382,6155.3,6090.5,,,,700,410,Hume,38792,6155.3,44947.3,0.136944822,270.7482708,42.9608381
2001-2002,Indigo Shire Council,14500,2326,673.7,625,,,,,,Indigo,2326,673.7,2999.7,0.224589126,160.4137931,46.46206897
2001-2002,Kingston City Council,134560,27623,13111,12760,10380,10380,,2523,2307,Kingston,29930,23491,53421,0.439733438,222.4286564,174.5763971
2001-2002,Knox City Council,148000,22500,12719,11894,8100,8100,,2950,,Knox,22500,20819,43319,0.480597428,152.027027,140.6689189
2001-2002,Latrobe City Council,70921,24200,2561,2430,940,940,,675,430,Latrobe,24630,3501,28131,0.12445345,347.2878273,49.36478617
2001-2002,Loddon Shire Council,8945,1942,,,,,,80,30,Loddon,1972,0,1972,0,220.4583566,0
2001-2002,Macedon Ranges Shire Council,35667,6500,2943,2543,,,,,,Macedon Ranges,6500,2943,9443,0.31165943,182.2412875,82.51324754
2001-2002,Manningham City Council,116000,21302,10543,10016,12544,12544,,1237,1072,Manningham,22374,23087,45461,0.507841886,192.8793103,199.0258621
2001-2002,Maribyrnong City Council,59766,15900,5010,4860,993,993,,1680,1493,Maribyrnong,17393,6003,23396,0.256582322,291.0183047,100.4417227
2001-2002,Maroondah City Council,100628,17649.4,9745,9311,12411,12287,,2586,1822,Maroondah,19471.4,22032,41503.4,0.530848075,193.4988274,218.9450252
2001-2002,Melbourne City Council,52117,14317,2589.8,2508.99,,,,67.45,67.45,Melbourne,14384.45,2589.8,16974.25,0.152572279,276.0030316,49.69203907
2001-2002,Melton City Council,58000,12709,4147.01,3342.91,,,,,,Melton,12709,4147.01,16856.01,0.246025602,219.1206897,71.50017241
2001-2002,Merri-Bek City Council,135000,28611,11892,10497,5514,5514,,1670,1240,Merri-Bek,29851,17406,47257,0.368326386,221.1185185,128.9333333
2001-2002,Mildura Rural City Council,47000,9220.4,2755.16,2755.16,,,,,,Mildura Rural,9220.4,2755.16,11975.56,0.230065233,196.1787234,58.62042553
2001-2002,Mitchell Shire Council,27542,4700,2580,2193,,,,,,Mitchell,4700,2580,7280,0.354395604,170.6484642,93.67511437
2001-2002,Moira Shire Council,27000,8000,2361.89,2361.89,,,,,,Moira,8000,2361.89,10361.89,0.227940077,296.2962963,87.47740741
2001-2002,Monash City Council,160860,48913.62,11494.93,10920.18,5411,5411,,2765,2478,Monash,51391.62,16905.93,68297.55,0.247533477,319.4804178,105.0971652
2001-2002,Moonee Valley City Council,111050,35620,6571.5,6440.1,,,,2482.1,2265.5,Moonee Valley,37885.5,6571.5,44457,0.147816992,341.1571364,59.17604683
2001-2002,Moorabool Shire Council,25109,4086,1098.322,1098.32,,,,,,Moorabool,4086,1098.322,5184.322,0.211854511,162.730495,43.74216416
2001-2002,Mornington Peninsula Shire Council,124891,46555,9826,9826,,,,235.6,235.6,Mornington Peninsula,46790.6,9826,56616.6,0.173553339,374.6514961,78.676606
2001-2002,Mount Alexander Shire Council,15930,4500,487.37,485.37,,,,,,Mount Alexander,4500,487.37,4987.37,0.097720843,282.4858757,30.59447583
2001-2002,Moyne Shire Council,15886,2254,153,107,1385,0,,,,Moyne,2254,153,2407,0.063564603,141.8859373,9.631121742
2001-2002,Murrindindi Shire Council,13109,3358,387,378,,,,,,Murrindindi,3358,387,3745,0.103337784,256.1598902,29.52170265
2001-2002,Nillumbik Shire Council,58161,8250,5591,5380,1203,1203,,1332,499,Nillumbik,8749,6794,15543,0.437109953,150.4272623,116.8136724
2001-2002,Northern Grampians Shire Council,13001,2789.94,1173.24,1138.03,,,,100,12,Northern Grampians,2801.94,1173.24,3975.18,0.295141352,215.5172679,90.24228905
2001-2002,Port Phillip City Council,82447,19047,8610,8223,90,90,,861,651,Port Phillip,19698,8700,28398,0.306359603,238.9171225,105.5223356
2001-2002,Pyrenees Shire Council,6800,728,56,56,,,,,,Pyrenees,728,56,784,0.071428571,107.0588235,8.235294118
2001-2002,Queenscliffe Borough Council,3273,1200,372,372,,,,67,52,Queenscliffe Borough Council,1252,372,1624,0.229064039,382.5236786,113.6571952
2001-2002,South Gippsland Shire Council,24597,3808,1343,1236,,,,,,South Gippsland,3808,1343,5151,0.260726073,154.8156279,54.60015449
2001-2002,Southern Grampians Shire Council,17200,1280,683,678,,,,,,Southern Grampians,1280,683,1963,0.347936831,74.41860465,39.70930233
2001-2002,Stonnington City Council,87412,21600,9714,9581,800,800,,1000,1000,Stonnington,22600,10514,33114,0.317509211,258.5457374,120.2809683
2001-2002,Strathbogie Shire Council,9169,1089,604.8,544.6,,,,,,Strathbogie,1089,604.8,1693.8,0.35706695,118.7697677,65.96139165
2001-2002,Surf Coast Shire Council,20920,4759,1112.63,1036.71,,,,,,Surf Coast,4759,1112.63,5871.63,0.189492526,227.4856597,53.18499044
2001-2002,Swan Hill Rural City Council,20755,3800,2048.5,1708.5,,,,,,Swan Hill Rural,3800,2048.5,5848.5,0.350260751,183.0884124,98.69910865
2001-2002,Towong Shire Council,6500,1386,185,163,,,,,,Towong,1386,185,1571,0.117759389,213.2307692,28.46153846
2001-2002,Wangaratta Rural City Council,26500,6666,1084.68,1075,,,,,,Wangaratta Rural,6666,1084.68,7750.68,0.139946431,251.5471698,40.93132075
2001-2002,Warrnambool City Council,28960,5127,2372,2185,,,,,,Warrnambool,5127,2372,7499,0.316308841,177.0372928,81.90607735
2001-2002,Wellington Shire Council,42500,6897,2462.5,2083.98,,,,110,50.6,Wellington,6947.6,2462.5,9410.1,0.261686911,163.4729412,57.94117647
2001-2002,West Wimmera Shire Council,4900,538.41,39,39,,,,,,West Wimmera,538.41,39,577.41,0.067542994,109.8795918,7.959183673
2001-2002,Whitehorse City Council,149000,32500,12750.9,12643.9,2399,2399,,5486,5151,Whitehorse,37651,15149.9,52800.9,0.286925033,252.6912752,101.6771812
2001-2002,Whittlesea City Council,118764,23426,8693.35,7981.84,,,,462.55,236.52,Whittlesea,23662.52,8693.35,32355.87,0.268679223,199.239837,73.19852817
2001-2002,Wodonga City Council,34000,8745.6,4549,4049,585,585,,3000,2500,Wodonga,11245.6,5134,16379.6,0.313438668,330.7529412,151
2001-2002,Wyndham City Council,92500,20779,5347.01,5347.01,166,166,,1254,1148,Wyndham,21927,5513.01,27440.01,0.20091137,237.0486486,59.60010811
2001-2002,Yarra City Council,70128,13006,6696,6419,230.9,230.9,,1932.86,1582.86,Yarra,14588.86,6926.9,21515.76,0.321945402,208.0318846,98.77509697
2001-2002,Yarra Ranges Shire Council,137113,28978,10222,8372,1072,1072,,3199,2638,Yarra Ranges,31616,11294,42910,0.263202051,230.5835333,82.37001597
